grid,dgp,metric,method,mean,standard_error,n,merged_checksum,git_revision
main,D2,reference_tcate_rmse,causal_drf,0.021933115514794883,0.002740266565959308,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_tcate_rmse,pta_s,0.023227783517534115,0.0023821022315505197,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_effect_rmse,cwdb_v1,0.020518194956263114,0.002746901261017102,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_effect_rmse,cwdb_v0,0.024748124601154886,0.0023447838342046685,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_effect_rmse,wdrft,0.018073142033095558,0.0029028816790453555,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_effect_rmse,causal_drf,0.017425616198734582,0.0029747968782190587,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_effect_rmse,pta_s,0.016770167618432048,0.0025960734434802056,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tail_calibration,cwdb_v1,0.1174466380831507,0.0021886433265135507,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tail_calibration,cwdb_v0,0.13652171788274248,0.002233464261387474,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tail_calibration,wdrft,0.079636131532719,0.0011452217542838523,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tail_calibration,causal_drf,0.13895931822388005,0.0014648123810290451,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mode_coverage,cwdb_v1,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
